table_ref,doc_id,ticker,report_year,scope,source_unit,row_index,column_index,row_label,column_label,raw_value,numeric_value,base_value,is_dash,is_missing
VIF_financial_statements_2023_separate|table_19,VIF_financial_statements_2023_separate,VIF,2023,separate,PERCENT,0,0,Công ty TNHH MTV Lâm nghiệp Lộc Bình,Bên vay | Công ty TNHH MTV Ván dán Vinafor Bắc Giang | Công ty TNHH MTV Lâm nghiệp Lộc Bình,Công ty TNHH MTV Lâm nghiệp Lộc Bình,,,False,False
VIF_financial_statements_2023_separate|table_19,VIF_financial_statements_2023_separate,VIF,2023,separate,VND,0,1,Công ty TNHH MTV Lâm nghiệp Lộc Bình,Số cuối năm (VND) | 69.691.452.088 | 23.000.000.000,15.632.763.461,15632763461.0,15632763461.0,False,False
VIF_financial_statements_2023_separate|table_19,VIF_financial_statements_2023_separate,VIF,2023,separate,PERCENT,0,2,Công ty TNHH MTV Lâm nghiệp Lộc Bình,"Kỳ hạn trả gốc và lãi | Lãi suất trong năm là 5%/năm. Lãi vay và gốc vay trả khi đáo hạn với khoản vay cuối cùng đáo hạn ngày 31 tháng 12 năm 2028 theo Phụ lục hợp đồng vay vốn số 195 ngày 26 tháng 3 năm 2021. Tổng Công ty đã trích lập dự phòng theo thời gian quá hạn của các khoản vay với giá trị là 47.830.262.026 VND. | Lãi suất trong năm là 5,5%/năm. Lãi vay và gốc vay trả khi đáo hạn với khoản vay cuối cùng đáo hạn ngày 31 tháng 12 năm 2025.","Lãi suất trong năm là 5,5%/năm. Lãi vay và gốc vay trả khi đáo hạn với khoản vay cuối cùng đáo hạn ngày 31 tháng 12 năm 2026.",,,False,False
VIF_financial_statements_2023_separate|table_19,VIF_financial_statements_2023_separate,VIF,2023,separate,PERCENT,0,3,Công ty TNHH MTV Lâm nghiệp Lộc Bình,"Hình thức đảm bảo | Toàn bộ tài sản của bên vay | Toàn bộ tài sản của bên vay, bao gồm cả tài sản trong tương lai hình thành từ khoản vay","Toàn bộ tài sản của bên vay, bao gồm cả tài sản trong tương lai hình thành từ khoản vay",,,False,False
VIF_financial_statements_2023_separate|table_19,VIF_financial_statements_2023_separate,VIF,2023,separate,PERCENT,1,0,Công ty TNHH MTV Lâm nghiệp Lộc Bình,Bên vay | Công ty TNHH MTV Ván dán Vinafor Bắc Giang | Công ty TNHH MTV Lâm nghiệp Lộc Bình,Công ty TNHH MTV Lâm nghiệp Lộc Bình,,,False,False
VIF_financial_statements_2023_separate|table_19,VIF_financial_statements_2023_separate,VIF,2023,separate,VND,1,1,Công ty TNHH MTV Lâm nghiệp Lộc Bình,Số cuối năm (VND) | 69.691.452.088 | 23.000.000.000,7.256.000.000,7256000000.0,7256000000.0,False,False
VIF_financial_statements_2023_separate|table_19,VIF_financial_statements_2023_separate,VIF,2023,separate,PERCENT,1,2,Công ty TNHH MTV Lâm nghiệp Lộc Bình,"Kỳ hạn trả gốc và lãi | Lãi suất trong năm là 5%/năm. Lãi vay và gốc vay trả khi đáo hạn với khoản vay cuối cùng đáo hạn ngày 31 tháng 12 năm 2028 theo Phụ lục hợp đồng vay vốn số 195 ngày 26 tháng 3 năm 2021. Tổng Công ty đã trích lập dự phòng theo thời gian quá hạn của các khoản vay với giá trị là 47.830.262.026 VND. | Lãi suất trong năm là 5,5%/năm. Lãi vay và gốc vay trả khi đáo hạn với khoản vay cuối cùng đáo hạn ngày 31 tháng 12 năm 2025.","Lãi suất trong năm là 5,5%/năm. Lãi vay và gốc vay trả khi đáo hạn với khoản vay cuối cùng đáo hạn ngày 30 tháng 6 năm 2026.",,,False,False
VIF_financial_statements_2023_separate|table_19,VIF_financial_statements_2023_separate,VIF,2023,separate,PERCENT,1,3,Công ty TNHH MTV Lâm nghiệp Lộc Bình,"Hình thức đảm bảo | Toàn bộ tài sản của bên vay | Toàn bộ tài sản của bên vay, bao gồm cả tài sản trong tương lai hình thành từ khoản vay","Toàn bộ tài sản của bên vay, bao gồm cả tài sản trong tương lai hình thành từ khoản vay",,,False,False
VIF_financial_statements_2023_separate|table_19,VIF_financial_statements_2023_separate,VIF,2023,separate,PERCENT,2,0,Công ty TNHH MTV Lâm nghiệp Đình Lập,Bên vay | Công ty TNHH MTV Ván dán Vinafor Bắc Giang | Công ty TNHH MTV Lâm nghiệp Lộc Bình,Công ty TNHH MTV Lâm nghiệp Đình Lập,,,False,False
VIF_financial_statements_2023_separate|table_19,VIF_financial_statements_2023_separate,VIF,2023,separate,VND,2,1,Công ty TNHH MTV Lâm nghiệp Đình Lập,Số cuối năm (VND) | 69.691.452.088 | 23.000.000.000,16.861.000.000,16861000000.0,16861000000.0,False,False
VIF_financial_statements_2023_separate|table_19,VIF_financial_statements_2023_separate,VIF,2023,separate,PERCENT,2,2,Công ty TNHH MTV Lâm nghiệp Đình Lập,"Kỳ hạn trả gốc và lãi | Lãi suất trong năm là 5%/năm. Lãi vay và gốc vay trả khi đáo hạn với khoản vay cuối cùng đáo hạn ngày 31 tháng 12 năm 2028 theo Phụ lục hợp đồng vay vốn số 195 ngày 26 tháng 3 năm 2021. Tổng Công ty đã trích lập dự phòng theo thời gian quá hạn của các khoản vay với giá trị là 47.830.262.026 VND. | Lãi suất trong năm là 5,5%/năm. Lãi vay và gốc vay trả khi đáo hạn với khoản vay cuối cùng đáo hạn ngày 31 tháng 12 năm 2025.","Lãi suất trong năm là 5,5%/năm. Lãi vay và gốc vay trả khi đáo hạn với khoản vay cuối cùng đáo hạn ngày 31 tháng 12 năm 2026.",,,False,False
