table_ref,doc_id,ticker,report_year,scope,source_unit,row_index,column_index,row_label,column_label,raw_value,numeric_value,base_value,is_dash,is_missing
KBC_financial_statements_2022_consolidated|table_45,KBC_financial_statements_2022_consolidated,KBC,2022,consolidated,PERCENT,0,0,Đặng Hải Triều,Đối tượng khác | Công ty Cổ phần Tập đoàn Everland | Ông Đỗ Anh Dũng,Đặng Hải Triều,,,False,False
KBC_financial_statements_2022_consolidated|table_45,KBC_financial_statements_2022_consolidated,KBC,2022,consolidated,VND,0,1,Đặng Hải Triều,Số cuối năm (VND) | 160.380.000.000 | 50.000.000.000,50.000.000.000,50000000000.0,50000000000.0,False,False
KBC_financial_statements_2022_consolidated|table_45,KBC_financial_statements_2022_consolidated,KBC,2022,consolidated,PERCENT,0,2,Đặng Hải Triều,Lãi suất | 1%/năm | Không có lãi suất,1%/năm,,,False,False
KBC_financial_statements_2022_consolidated|table_45,KBC_financial_statements_2022_consolidated,KBC,2022,consolidated,PERCENT,0,3,Đặng Hải Triều,"Kỳ hạn trả gốc và lãi | Kỳ hạn 12 tháng, gốc vay đáo hạn từ tháng 1 đến tháng 8 năm 2023. | Kỳ hạn 18 tháng, gốc vay đáo hạn ngày 15 tháng 7 năm 2022. Công ty đang trong quá trình gia hạn khoản vay này","Kỳ hạn 12 tháng, gốc vay đáo hạn ngày 27 tháng 1 năm 2023",,,False,False
KBC_financial_statements_2022_consolidated|table_45,KBC_financial_statements_2022_consolidated,KBC,2022,consolidated,PERCENT,1,0,Công ty Cổ phần Kum-Ba,Đối tượng khác | Công ty Cổ phần Tập đoàn Everland | Ông Đỗ Anh Dũng,Công ty Cổ phần Kum-Ba,,,False,False
KBC_financial_statements_2022_consolidated|table_45,KBC_financial_statements_2022_consolidated,KBC,2022,consolidated,VND,1,1,Công ty Cổ phần Kum-Ba,Số cuối năm (VND) | 160.380.000.000 | 50.000.000.000,9.500.000.000,9500000000.0,9500000000.0,False,False
KBC_financial_statements_2022_consolidated|table_45,KBC_financial_statements_2022_consolidated,KBC,2022,consolidated,PERCENT,1,2,Công ty Cổ phần Kum-Ba,Lãi suất | 1%/năm | Không có lãi suất,6.5%/năm,,,False,False
KBC_financial_statements_2022_consolidated|table_45,KBC_financial_statements_2022_consolidated,KBC,2022,consolidated,PERCENT,1,3,Công ty Cổ phần Kum-Ba,"Kỳ hạn trả gốc và lãi | Kỳ hạn 12 tháng, gốc vay đáo hạn từ tháng 1 đến tháng 8 năm 2023. | Kỳ hạn 18 tháng, gốc vay đáo hạn ngày 15 tháng 7 năm 2022. Công ty đang trong quá trình gia hạn khoản vay này","Kỳ hạn 6 tháng, đáo hạn ngày 17 tháng 7 năm 2022. Công ty đang trong quá trình gia hạn khoản vay này",,,False,False
KBC_financial_statements_2022_consolidated|table_45,KBC_financial_statements_2022_consolidated,KBC,2022,consolidated,PERCENT,2,0,Bà Lê Thị Hải Yến,Đối tượng khác | Công ty Cổ phần Tập đoàn Everland | Ông Đỗ Anh Dũng,Bà Lê Thị Hải Yến,,,False,False
KBC_financial_statements_2022_consolidated|table_45,KBC_financial_statements_2022_consolidated,KBC,2022,consolidated,VND,2,1,Bà Lê Thị Hải Yến,Số cuối năm (VND) | 160.380.000.000 | 50.000.000.000,4.000.000.000,4000000000.0,4000000000.0,False,False
KBC_financial_statements_2022_consolidated|table_45,KBC_financial_statements_2022_consolidated,KBC,2022,consolidated,PERCENT,2,2,Bà Lê Thị Hải Yến,Lãi suất | 1%/năm | Không có lãi suất,12%/năm,,,False,False
KBC_financial_statements_2022_consolidated|table_45,KBC_financial_statements_2022_consolidated,KBC,2022,consolidated,PERCENT,2,3,Bà Lê Thị Hải Yến,"Kỳ hạn trả gốc và lãi | Kỳ hạn 12 tháng, gốc vay đáo hạn từ tháng 1 đến tháng 8 năm 2023. | Kỳ hạn 18 tháng, gốc vay đáo hạn ngày 15 tháng 7 năm 2022. Công ty đang trong quá trình gia hạn khoản vay này",Khoản vay đáo hạn ngày 11 tháng 11 năm 2022. Công ty đang trong quá trình gia hạn khoản vay này,,,False,False
